GTKode;forrigekode;FP;SP;Klasse;url
MA06-29;NA M5-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-7
MA06-29;NA M5-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-17
MA02-11;NA M1-4;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M1-4
MA02-11;NA M1-6;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M1-6
OA02-13;NA O2-15;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-15
OA02-13;NA O2-16;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-16
MA06-28;NA M5-10;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-10
MA06-28;NA M5-19;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-19
OA02-08;NA O2-9;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-9
OA02-08;NA O2-10;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-10
MA06-27;NA M5-9;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-9
MA06-27;NA M5-18;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-18
MA06-27;NA M5-26;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-26
MA06-27;NA M5-32;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-32
OA02-03;NA O2-3;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-3
OA02-03;NA O2-4;4;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20O2-4
TG01-09;NA T27-8;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-8
TG01-09;NA T28-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-1
TG01-09;NA T27-2;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-2
TG01-09;NA T27-3;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T27-3
TG01-01;NA T28-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-1
TG01-01;NA T28-2;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-2
TG01-01;NA T28-3;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T28-3
SA01-01;NA H1-1;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SA01-01;NA H1-5;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SA01-02;NA H1-1;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SA01-02;NA H1-5;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SC01-02;NA H1-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-3
SC01-02;NA H1-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-4
SC05-01;NA H2-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-2
SC05-01;NA H2-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-3
SC05-01;NA H2-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-7
SC05-01;NA H2-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H2-8
SC06-01;NA H1-1;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SC06-01;NA H1-5;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
SC06-02;NA H1-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-1
SC06-02;NA H1-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20H1-5
MA03-01;NA M2-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-1
MA03-01;NA M2-13;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-13
MA03-03;NA M2-6;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-6
MA03-03;NA M2-14;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-14
MA03-02;NA M2-6;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-6
MA03-02;NA M2-14;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-14
MA03-04;NA M2-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-2
MA03-04;NA M2-15;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-15
MA03-05;NA M2-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-7
MA03-05;NA M2-16;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-16
MA03-06;NA M2-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-3
MA03-06;NA M2-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-17
MA03-07;NA M2-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-8
MA03-07;NA M2-18;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-18
MA03-08;NA M2-4;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-4
MA03-08;NA M2-5;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-5
MA03-08;NA M2-19;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-19
MA03-08;NA M2-20;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-20
MA03-09;NA M2-9;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-9
MA03-09;NA M2-10;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-10
MA03-09;NA M2-19;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-19
MA03-09;NA M2-20;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M2-20
MA04-02;NA M4-33;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-33
MA04-02;NA M4-34;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-34
MA04-08;NA M4-33;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-33
MA04-08;NA M4-34;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-34
MA04-01;NA M4-29;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-01;NA M4-38;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-06;NA M4-29;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-06;NA M4-38;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-04;NA M4-31;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-31
MA04-04;NA M4-40;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-40
MA04-10;NA M4-31;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-31
MA04-10;NA M4-40;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-40
MA04-07;NA M4-29;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-29
MA04-07;NA M4-38;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-38
MA04-05;NA M4-30;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-30
MA04-05;32;2;4;GT;
MA04-05;39;2;4;GT;
MA04-05;41;2;4;GT;
MA04-12;NA M4-35;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-35
MA04-12;NA M4-42;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-42
MA05-13;NA M4-11;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-11
MA05-13;NA M4-20;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-20
MA05-12;NA M4-10;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-10
MA05-12;NA M4-19;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-19
MA05-02;NA M4-3;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-3
MA05-02;NA M4-6;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-6
MA05-05;NA M4-5;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-5
MA05-05;NA M4-7;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-7
MA05-04;NA M4-4;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-4
MA05-04;NA M4-5;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-5
MA05-14;NA M4-9;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-9
MA05-14;NA M4-18;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-18
MA05-15;NA M4-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-8
MA05-15;NA M4-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-17
MA05-16;NA M4-8;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-8
MA05-16;NA M4-17;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-17
MA05-11;NA M4-13;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-13
MA05-11;NA M4-16;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-16
MA06-05;NA M5-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-2
MA06-05;NA M5-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-5
MA06-10;NA M5-12;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-12
MA06-10;NA M5-15;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-15
MA06-15;NA M5-21;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-21
MA06-15;NA M5-24;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-24
MA06-17;NA M5-29;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-29
MA06-17;NA M5-35;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-35
MA06-16;NA M5-27;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-27
MA06-16;NA M5-33;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-33
MA06-19;NA M5-27;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-27
MA06-19;NA M5-29;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-29
MA06-19;NA M5-30;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-30
MA06-19;NA M5-33;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-33
MA06-19;NA M5-35;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-35
MA06-19;NA M5-36;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-36
MA06-18;NA M5-27;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-27
MA06-18;NA M5-29;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-29
MA06-18;NA M5-30;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-30
MA06-18;NA M5-33;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-33
MA06-18;NA M5-35;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-35
MA06-18;NA M5-36;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-36
MA06-20;NA M5-28;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-28
MA06-20;NA M5-30;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-30
MA06-30;NA M5-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-6
MA06-30;NA M5-16;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-16
MA06-30;NA M5-25;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-25
MA06-30;NA M5-31;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-31
MA06-30;NA M5-37;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-37
MA06-31;NA M5-34;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-34
MA06-31;NA M5-36;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M5-36
MC03-01;NA M9-1;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-1
MC03-01;NA M9-4;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-4
MC03-02;NA M9-8;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-8
MC03-02;NA M9-9;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-9
MC03-03;NA M9-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-2
MC03-03;NA M9-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-3
MC03-03;NA M9-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-5
MC03-03;NA M9-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M9-6
MC04-04;NA M4-21;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-21
MC04-04;NA M4-25;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-25
MC04-06;NA M4-22;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-22
MC04-06;NA M4-24;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-24
MC04-01;NA M4-21;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-21
MC04-01;NA M4-25;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-25
MC04-03;NA M4-22;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-22
MC04-03;NA M4-24;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M4-24
MC06-01;NA M11-1;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-1
MC06-01;NA M11-2;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-2
MC06-01;NA M11-3;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-3
MC06-01;NA M11-4;3;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-4
MC06-03;NA M11-5;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-5
MC06-03;NA M11-6;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-6
MC06-05;NA M11-5;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-5
MC06-05;NA M11-6;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M11-6
MC07-01;NA M12-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-1
MC07-01;NA M12-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-2
MC07-01;NA M12-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-3
MC07-02;NA M12-4;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-4
MC07-02;NA M12-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-5
MC07-02;NA M12-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M12-6
MF01-02;NA M7-1;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M7-1
MF01-02;NA M7-2;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M7-2
MF01-01;NA M7-1;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M7-1
MF01-01;NA M7-2;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M7-2
MM01-04;NA M15-1;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M15-1
MM01-04;NA M15-3;2;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20M15-3
TA04-02;NA T22-1;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-1
TA04-02;NA T22-2;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-2
TA04-01;NA T22-1;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-1
TA04-01;NA T22-2;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-2
TA04-03;NA T22-3;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-3
TA04-03;NA T22-4;2;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T22-4
TB01-17;NA T4-6;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-6
TB01-17;NA T4-10;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-10
TB01-18;NA T4-8;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-8
TB01-18;NA T4-12;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-12
TB01-18;NA T4-19;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-19
TB01-18;NA T4-20;1;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T4-20
TC01-02;NA T6-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T6-2
TC01-02;NA T6-3;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T6-3
TC02-06;NA T5-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T5-6
TC02-06;NA T5-7;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T5-7
TC03-09;NA T29-5;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-5
TC03-09;NA T29-6;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-6
TC03-09;NA T29-9;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-9
TC03-04;NA T11-2;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T11-2
TC03-04;NA T21-1;1;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T21-1
TC03-10;NA T29-5;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-5
TC03-10;NA T29-6;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-6
TC03-10;NA T29-9;0;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-9
TC03-06;NA T29-3;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-3
TC03-06;NA T29-4;3;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-4
TC03-08;NA T29-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-1
TC03-08;NA T29-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T29-2
TC08-01;NA T7-1;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T7-1
TC08-01;NA T7-2;4;4;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T7-2
TD01-02;NA T13-6;3;1;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-6
TD01-02;NA T13-18;3;1;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-18
TD01-05;NA T13-6;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-6
TD01-05;NA T13-17;2;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-17
TD01-08;NA T13-12;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-12
TD01-08;NA T13-13;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-13
TD01-08;NA T13-15;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-15
TD01-08;NA T13-17;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-17
TD01-11;NA T13-4;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-4
TD01-11;NA T13-5;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-5
TD01-11;NA T13-16;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-16
TD01-11;NA T13-17;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-17
TD01-01;NA T13-3;3;1;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-3
TD01-01;NA T13-18;3;1;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-18
TD01-04;NA T13-3;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-3
TD01-04;NA T13-17;3;2;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-17
TD01-07;NA T13-10;4;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-10
TD01-07;NA T13-11;4;3;GT;https://nin-kode-api.artsdatabanken.no/v2.3/koder/hentkode/NA%20T13-11
