Nivå;Hovedtypegruppe_kode;Hovedtype_kode;HOVEDTYPE_navn;Sammensatt_Kode;Navn_GRUNNTYPE 1:500 (langnavn);Navn_GRUNNTYPE 1:500 (populærnavn)
NA;M;M1;Eufotisk fast saltvannsbunn;M1-1;svært beskyttet fast algebunn;grønnalgebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-2;beskyttet-eksponert sublitoral fastbunn;rødalgebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-3;beskyttet infralitoral fastbunn;sukkertareskog
NA;M;M1;Eufotisk fast saltvannsbunn;M1-4;beskyttet øvre circalitoral fastbunn;sagtangbunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-5;nokså eksponert infralitoral fastbunn;stortareskog
NA;M;M1;Eufotisk fast saltvannsbunn;M1-6;nokså eksponert øvre circalitoral fastbunn;fingertarebunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-7;svært eksponert eufotisk fastbunn;svært eksponert fastbunn
NA;M;M1;Eufotisk fast saltvannsbunn;M1-8;nokså brakk svært beskyttet fast algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-9;nokså brakk beskyttet-eksponert sublitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-10;nokså brakk beskyttet infralitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-11;nokså brakk beskyttet øvre circalitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-12;nokså brakk nokså eksponert infralitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-13;nokså brakk nokså eksponert øvre circalitoral fastbunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-14;svært brakk svært beskyttet fast algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-15;svært brakk beskyttet-eksponert fast tareskogs-algebunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-16;svært beskyttet bergvegg under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-17;beskyttet-eksponert sublitoral bergvegg;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-18;beskyttet-eksponert bergvegg under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-19;svært eksponert bergvegg;Bergvegg i sterk tidevannsstrøm
NA;M;M1;Eufotisk fast saltvannsbunn;M1-20;svært beskyttet nokså brakk bergvegg;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-21;beskyttet-eksponert nokså brakk bergvegg i sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-22;beskyttet-eksponert nokså brakk bergvegg under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-23;svært brakk bergvegg;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-24;svært beskyttet blokkdominert bunn under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-25;beskyttet-eksponert blokkdominert bunn i sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-26;beskyttet-eksponert blokkdominert bunn under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-27;svært eksponert blokkdominert bunn;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-28;beskyttet-eksponert nokså brakk blokkdominert bunn under sublitoral;
NA;M;M1;Eufotisk fast saltvannsbunn;M1-29;blokkdominert bunn preget av disruptiv isforstyrrelse;
NA;M;M2;Afotisk fast saltvannsbunn;M2-1;svært beskyttet afotisk fastbunn i øvre sublitoral;dypere fastbunn i øvre sublitoral med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-2;svært beskyttet fastbunn i atlantisk vann;fastbunn i atlantisk vann med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-3;svært beskyttet fastbunn i intermediært vann;fastbunn i intermediært vann med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-4;svært beskyttet fastbunn i bathyal;fastbunn i bathyal med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-5;svært beskyttet fastbunn i abyssal;fastbunn i abyssal med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-6;nokså beskyttet afotisk fastbunn i øvre sublitoral;dypere fastbunn i øvre sublitoral med strømpåvirkning
NA;M;M2;Afotisk fast saltvannsbunn;M2-7;nokså beskyttet fastbunn i atlantisk vann;strømpåvirket fastbunn i atlantisk vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-8;nokså beskyttet fastbunn i intermediært vann;strømpåvirket fastbunn i intermediært vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-9;nokså beskyttet fastbunn i bathyal;strømpåvirket fastbunn i bathyal
NA;M;M2;Afotisk fast saltvannsbunn;M2-10;nokså beskyttet fastbunn i abyssal;strømpåvirket fastbunn i abyssal
NA;M;M2;Afotisk fast saltvannsbunn;M2-11;nokså eksponert ultramafisk fastbunn i atlantisk vann;fastbunn dannet av varme kilder i atlantisk vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-12;nokså eksponert ultramafisk fastbunn i abyssal;abyssal fastbunn dannet av varme kilder
NA;M;M2;Afotisk fast saltvannsbunn;M2-13;beskyttet afotisk bergvegg i øvre sublitoral;dyp bergvegg i øvre sublitoral med lite strøm
NA;M;M2;Afotisk fast saltvannsbunn;M2-14;nokså eksponert bergvegg  i øvre sublitoral ;noe strømpåvirket dyp bergvegg i øvre sublitoral 
NA;M;M2;Afotisk fast saltvannsbunn;M2-15;beskyttet bergvegg i atlantisk vann;lite strømpåvirket bergvegg i atlantisk vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-16;nokså eksponert bergvegg i nedre sublitoral;noe strømpåvirket bergvegg i atlantisk vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-17;beskyttet bergvegg i intermediært vann;lite strømpåvirket bergvegg i intermediært vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-18;nokså eksponert bergvegg i intermediært vann;noe strømpåvirket bergvegg i intermediært vann
NA;M;M2;Afotisk fast saltvannsbunn;M2-19;beskyttet til nokså eksponert bathyal bergvegg;bathyal bergvegg
NA;M;M2;Afotisk fast saltvannsbunn;M2-20;beskyttet til nokså eksponert abyssal bergvegg;abyssal bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-1;grisetangbunn;
NA;M;M3;Fast fjærebeltebunn;M3-2;grønnalge-spiraltangbunn;
NA;M;M3;Fast fjærebeltebunn;M3-3;grønnalge-rurbunn;
NA;M;M3;Fast fjærebeltebunn;M3-4;blæretangbunn;
NA;M;M3;Fast fjærebeltebunn;M3-5;spiraltangbunn;
NA;M;M3;Fast fjærebeltebunn;M3-6;sauetang-blåskjellbunn;
NA;M;M3;Fast fjærebeltebunn;M3-7;remtangbunn;
NA;M;M3;Fast fjærebeltebunn;M3-8;strandsnegl-blåskjellbunn;
NA;M;M3;Fast fjærebeltebunn;M3-9;strandsnegl-blåskjell-rurbunn;
NA;M;M3;Fast fjærebeltebunn;M3-10;bunn dominert av filamentøse alger;ekstremt eksponert fastbunn i fjærebeltet
NA;M;M3;Fast fjærebeltebunn;M3-11;mesohalin svært beskyttet-intermediær fastbunn i hydrolitoral;
NA;M;M3;Fast fjærebeltebunn;M3-12;mesohalin beskyttet-intermediær fastbunn i geolitoral;
NA;M;M3;Fast fjærebeltebunn;M3-13;oligohalin beskyttet-intermediær fastbunn;svært brakk fastbunn
NA;M;M3;Fast fjærebeltebunn;M3-14;beskyttet bergvegg i nedre geolitoral;beskyttet nedre fjæresone-bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-15;beskyttet bergvegg i hydrolitoral-øvre geolitoral;beskyttet øvre fjæresone-bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-16;intermediær bergvegg i hydrolitoral-geolitoral;intermediær fjæresone-bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-17;eksponert bergvegg i hydrolitoral-geolitoral;eksponert fjæresone-bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-18;mesohalin beskyttet-intermediær bergvegg i hydrolitoral-geolitoral;brakk fjæresone-bergvegg
NA;M;M3;Fast fjærebeltebunn;M3-19;fjæresone-fastbunn preget av disruptiv isforstyrrelse;isskurt fjæresone-fastbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-1;finmaterialfattig bunn med liten erosjonsmotstand i sjøkant-tareskogsbeltet;grunn sandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-2;finmaterialdominert bunn med liten erosjonsmotstand i sjøkant-tareskogsbeltet;grunn løs mudderbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-3;finmaterialfattig bunn med intermediær erosjonsmotstand i sjøkant-tareskogsbeltet;grunn fin til middels grusbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-4;finmaterialrik bunn med nokså liten til intermediær erosjonsmotstand i sjøkant-tareskogsbeltet;grunn grovere blandet sandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-5;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i sjøkant-tareskogsbeltet;grunn finsedimentbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-6;finmaterialfattig bunn med nokså stor til stor erosjonsmotstand i sjøkant-tareskogsbeltet;grunn grus- og steinbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-7;finmaterialrik bunn med nokså stor erosjonsmotstand i sjøkant-tareskogsbeltet;grunn grus- og steinbunn med finmateriale
NA;M;M4;Eufotisk marin sedimentbunn;M4-8;finmaterialrik bunn med stor erosjonsmotstand i sjøkant-tareskogsbeltet;grunn fastleirebunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-9;organisk finmaterialdominert bunn med liten erosjonsmotstand i sjøkant-tareskogsbeltet;grunn algegytjebunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-10;skjellsandbunn i sjøkant-tareskogsbeltet;grunn skjellsandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-11;ruglbunn i sjøkant-tareskogsbeltet;grunn ruglbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-12;finmaterialfattig bunn med liten erosjonsmotstand i rødalgebeltet;sandbunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-13;finmaterialdominert bunn med liten erosjonsmotstand i rødalgebeltet;løs mudderbunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-14;finmaterialdominert bunn med intermediær til stor erosjonsmotstand i rødalgebeltet;grus- og steinbunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-15;finmaterialrik bunn med nokså liten til nokså stor erosjonsmotstand i rødalgebeltet;finmaterialerik sedimentbunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-16;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i rødalgebeltet; finsedimentbunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-17;finmaterialrik bunn med stor erosjonsmotstand i rødalgebeltet;fastleirebunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-18;organisk finmaterialdominert bunn med liten erosjonsmotstand i rødalgebeltet;algegytjebunn i rødalgebeltet
NA;M;M4;Eufotisk marin sedimentbunn;M4-19;skjellsandbunn i rødalgebeltet;
NA;M;M4;Eufotisk marin sedimentbunn;M4-20;ruglbunn i rødalgebeltet;
NA;M;M4;Eufotisk marin sedimentbunn;M4-21;brakk eufotisk finmaterialfattig bunn med liten erosjonsmotstand;brakk sandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-22;brakk eufotisk finmaterialdominert bunn med liten erosjonsmotstand;brakk løs mudderbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-23;brakk eufotisk finmaterialrik bunn med nokså liten til intermediær erosjonsmotstand;brakk  fin til middels grusbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-24;brakk eufotisk finmaterialdominert bunn med nokså liten til stor erosjonsmotstand;brakk grov silt- til fast leirbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-25;brakk eufotisk finmaterialdominert bunn med intermediær til stor erosjonsmotstand;brakk fin grus- til steinbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-26;brakk eufotisk finmaterialrik bunn med nokså stor erosjonsmotstand;brakk grus- og steinbunn med finmateriale
NA;M;M4;Eufotisk marin sedimentbunn;M4-27;brakk eufotisk organisk finmaterialdominert bunn med liten erosjonsmotstand;brakk algegytjebunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-28;brakk eufotisk svært kalkrik organisk finmaterialdominert bunn med liten erosjonsmotstand;brakk løs kalkmudderbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-29;finmaterialfattig bunn med liten erosjonsmotstand i hydrolitoral;hydrolitoral sandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-30;finmaterialdominert bunn med liten erosjonsmotstand i hydrolitoral;hydrolitoral løs mudderbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-31;finmaterialrik bunn med nokså liten til intermediær erosjonsmotstand i hydrolitoral;hydrolitoral fin til middels grusbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-32;finmaterialdominert bunn med nokså liten til intermediær erosjonsmotstand i hydrolitoral;hydrolitoral siltbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-33;finmaterialdominert bunn med intermediær erosjonsmotstand i hydrolitoral;hydrolitoral fin til middels grusbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-34;finmaterialdominert bunn med nokså stor til stor erosjonsmotstand i hydrolitoral;hydrolitoral grov grus- til steinbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-35;finmaterialdominert bunn med nokså stor erosjonsmotstand i hydrolitoral;hydrolitoral leirbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-36;organisk finmaterialdominert bunn med liten erosjonsmotstand i hydrolitoral;hydrolitoral algegytjebunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-37;hydrolitoral skjellsandbunn;
NA;M;M4;Eufotisk marin sedimentbunn;M4-38;brakk finmaterialfattig bunn med liten erosjonsmotstand i hydrolitoral;brakk hydrolitoral sandbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-39;brakk finmaterialdominert bunn med liten erosjonsmotstand i hydrolitoral;brakk hydrolitoral løs mudderbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-40;brakk finmaterialrik bunn med nokså liten til intermediær erosjonsmotstand i hydrolitoral;brakk hydrolitoral fin til middels grusbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-41;brakk finmaterialdominert bunn med nokså liten til intermediær erosjonsmotstand i hydrolitoral;brakk hydrolitoral siltbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-42;brakk finmaterialdominert bunn med nokså stor erosjonsmotstand i hydrolitoral;brakk hydrolitoral leirbunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-43;brakk organisk finmaterialdominert bunn med liten erosjonsmotstand i hydrolitoral;brakk hydrolitoral algegytjebunn
NA;M;M4;Eufotisk marin sedimentbunn;M4-44;eufotisk sedimentbunn preget av disruptiv sedimentasjon;sedimentbunn preget av stor massetransport
NA;M;M5;Afotisk marin sedimentbunn;M5-1;finmaterialfattig afotisk bunn med liten erosjonsmotstand i øvre sublitoral;sandbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-2;finmaterialdominert afotisk bunn med liten erosjonsmotstand i øvre sublitoral;løs mudderbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-3;finmaterialdominert afotisk bunn med intermediær til stor erosjonsmotstand i øvre sublitoral;fin grus- til steinbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-4;finmaterialrik afotisk bunn med nokså liten til nokså stor erosjonsmotstand i øvre sublitoral;finmaterialerik sedimentbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-5;finmaterialdominert afotisk bunn med nokså liten til nokså stor erosjonsmotstand i øvre sublitoral;finsedimentbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-6;finmaterialrik afotisk bunn med stor erosjonsmotstand i øvre sublitoral;fastleirebunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-7;organisk finmaterialdominert afotisk bunn med liten erosjonsmotstand i øvre sublitoral;algegytjebunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-8;afotisk skjellsandbunn i øvre sublitoral;skjellsandbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-9;afotisk svampspikelbunn i øvre sublitoral;svampspikelbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-10;afotisk korallgrusbunn i øvre sublitoral;korallgrusbunn i øvre sublitoral
NA;M;M5;Afotisk marin sedimentbunn;M5-11;finmaterialfattig bunn med liten erosjonsmotstand i atlantisk vann;sandbunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-12;finmaterialdominert bunn med liten erosjonsmotstand i atlantisk vann;løs mudderbunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-13;finmaterialdominert bunn med intermediær til stor erosjonsmotstand i atlantisk vann;fin grus- til steinbunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-14;finmaterialrik bunn med nokså liten til nokså stor erosjonsmotstand i atlantisk vann;finmaterialerik sedimentbunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-15;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i atlantisk vann;finsedimentbunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-16;finmaterialrik bunn med stor erosjonsmotstand i atlantisk vann;fastleirebunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-17;organisk finmaterialdominert bunn med liten erosjonsmotstand i atlantisk vann;algegytjebunn i atlantisk vann
NA;M;M5;Afotisk marin sedimentbunn;M5-18;svampspikelbunn i atlantisk vann;
NA;M;M5;Afotisk marin sedimentbunn;M5-19;korallgrusbunn i atlantisk vann;
NA;M;M5;Afotisk marin sedimentbunn;M5-20;finmaterialfattig bunn med liten erosjonsmotstand i intermediært vann;sandbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-21;finmaterialdominert bunn med liten erosjonsmotstand i intermediært vann;løs mudderbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-22;finmaterialdominert bunn med intermediær til stor erosjonsmotstand i intermediært vann;fin grus- til steinbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-23;finmaterialrik bunn med nokså liten til nokså stor erosjonsmotstand i intermediært vann;finmaterialerik sedimentbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-24;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i intermediært vann;finsedimentbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-25;finmaterialdominert bunn med stor erosjonsmotstand i intermediært vann;fast leirbunn i intermediært vann
NA;M;M5;Afotisk marin sedimentbunn;M5-26;svampspikelbunn i intermediært vann;
NA;M;M5;Afotisk marin sedimentbunn;M5-27;finmaterialfattig bunn med liten erosjonsmotstand i bathyal;bathyal sandbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-28;finmaterialdominert bunn med liten erosjonsmotstand i bathyal;bathyal løs mudderbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-29;finmaterialdominert bunn med intermediær til stor erosjonsmotstand i bathyal;bathyal fin grus- til steinbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-30;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i bathyal;bathyal finsedimentbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-31;finmaterialdominert bunn med stor erosjonsmotstand i bathyal;bathyal fast leirbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-32;svampspikelbunn i bathyal;bathyal svampspikelbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-33;finmaterialfattig bunn med liten erosjonsmotstand i abyssal;abyssal sandbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-34;finmaterialdominert bunn med liten erosjonsmotstand i abyssal;abyssal løs mudderbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-35;finmaterialdominert bunn med intermediær til stor erosjonsmotstand i abyssal;abyssal fin grus- til steinbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-36;finmaterialdominert bunn med nokså liten til nokså stor erosjonsmotstand i abyssal;abyssal finsedimentbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-37;finmaterialdominert bunn med stor erosjonsmotstand i abyssal;abyssal fast leirbunn
NA;M;M5;Afotisk marin sedimentbunn;M5-38;svampspikelbunn i abyssal;abyssal svampspikelbunn
NA;M;M6;Korallrev-bunn;M6-1;kysttilknyttet korallrev-bunn;kystnær korallrevbunn
NA;M;M6;Korallrev-bunn;M6-2;havtilknyttet korallrev-bunn;hav-korallrevbunn
NA;M;M7;Marin undervannseng;M7-1;Brakk undervannseng i hydrolitoral;Grunn brakkvannseng
NA;M;M7;Marin undervannseng;M7-2;Brakk undervannseng i sublitoral;Sublitoral brakkvannseng
NA;M;M7;Marin undervannseng;M7-3;Salt undervannseng i hydrolitoral;Grunn saltvannseng
NA;M;M7;Marin undervannseng;M7-4;Salt undervannseng i sublitoral;Sublitoral saltvannseng
